"","V1","V2"
"574","BX648207","DOID:9256"
"575","BX649059","DOID:9256"
"576","CAHM","DOID:9256"
"577","lncRNA-CIR","DOID:8398"
"578","CARL","DOID:5844"
"579","LINC00467","DOID:769"
"580","PCAT18","DOID:10283"
"581","lincRNA1611","DOID:3498"
"582","Ppp3ca","DOID:3498"
"583","ZNF300P1","DOID:2394"
"584","LOC391533","DOID:10591"
"585","LOC284100","DOID:10591"
"586","CEACAMP8","DOID:10591"
"587","OVAAL","DOID:2394"
"588","TUC339","DOID:684"
"589","DQ786227","DOID:1324"
"590","AC068718.1","DOID:2055"
"591","LUCAT1","DOID:1324"
"592","Llme23","DOID:1909"
"593","CK19","DOID:1612"
"594","RERT","DOID:684"
"595","LINC00887","DOID:4467"
"596","X91348","DOID:4467"
"597","BC029135","DOID:4467"
"598","LOC389332","DOID:4467"
